date,garch_cond_vol,garch_resid,egarch_cond_vol,egarch_std_resid,egarch_asymmetric,ewma_cond_vol,ewma_resid
2000-01-05,2.538901359848911,0.0005252257368521426,0.9996682976275967,0.0028305871291306526,-0.08325020771015035,2.636154998204891,0.00026449440535729536
2000-01-06,3.6355474674173776,0.00010775225623254075,1.464009531228729,-0.0003315540220321739,-0.08536606394205307,3.453616048021068,3.15321838044787e-05
2000-01-07,3.3084146816393996,0.00011371644526150045,1.3559276036829175,-0.00028907200080243757,-0.08540203219277669,3.240445762609549,3.429335355290927e-05
2000-01-10,3.0105833368485184,9.579131131366227e-06,1.2508015122854388,-0.002031504640539448,-0.08392676683955423,3.0391905633482126,3.2723477039641305e-07
2000-01-11,3.2830796864797827,5.893018945478499e-05,1.121750305295054,-0.0010535178905568957,-0.08475479883072358,3.2593320776509156,1.101613294129277e-05
2000-01-12,3.077699073375634,0.00021920033885898,1.0101915989459442,0.0007232850349080067,-0.0850343970655845,3.125698643330096,8.78625039551164e-05
2000-01-13,2.944158833541172,0.00014969978052651228,1.0926001238026346,5.794645674948419e-05,-0.08559771924524,3.035912923631567,5.1705092713336066e-05
2000-01-14,2.698233191469046,5.464509329092491e-05,1.0509317174443469,-0.001164098693158835,-0.08466117338828766,2.859644508523318,9.47128018923014e-06
2000-01-18,2.5651050338823778,6.126590972689104e-05,0.939250781148188,-0.0011160133231198548,-0.08470188582605861,2.763713109330136,1.1881845991295531e-05
2000-01-19,2.419145652507974,0.0001678950200140836,0.8307314638175166,0.0002703460553104035,-0.08541788688808066,2.6545460134422,6.0902758473288456e-05
2000-01-20,2.2458622413334344,0.00011644504538550952,0.8393752138509821,-0.0003404285563317085,-0.08535855014055536,2.518840863799122,3.557007125269129e-05
2000-01-21,2.048171076797616,0.00016991807818030568,0.744705649078596,0.00030545616577509,-0.08538816021266428,2.3622184462595617,6.19388493263896e-05
2000-01-24,1.9129833331046722,0.0001392580074094249,0.7638046786480335,-5.8511914667142105e-05,-0.08559724048901403,2.246931832394656,4.65352272329105e-05
2000-01-25,1.755172706745103,0.0003676108913700503,0.7160991944470024,0.002149079662680548,-0.0838272196016218,2.113004753408029,0.00017116507906429602
2000-01-26,2.233411609604212,8.406583233378241e-05,1.0703162732306593,-0.0007083286021356106,-0.08504706022774854,2.4476459939768143,2.103432987277296e-05
2000-01-27,2.0620160728693,0.00014844917601080116,0.9650636301928671,4.832594207194209e-05,-0.08560586464590587,2.3150431970884138,5.1081462225280553e-05
2000-01-28,1.898158363531598,0.00014648572120471982,0.9273201373224309,2.7515937948512922e-05,-0.08562348385102381,2.182685223071127,5.010473634045877e-05
2000-01-31,1.747865514740117,0.0003655663719602645,0.8875265104085079,0.0019544851532509746,-0.08399197692488458,2.0571695738201616,0.00016998063827632613
2000-02-01,2.218757908830433,1.3183727249562714e-05,1.1983817878273442,-0.0019609938702736932,-0.08398646618977863,2.389307265956864,1.3663111811546851e-08
2000-02-02,2.4935436684949512,6.146416136946115e-05,1.0715230287044852,-0.0010400381623288598,-0.0847662117115272,2.5954236035943707,1.1956050751403887e-05
2000-02-03,2.3536574560802253,0.0001205086184856661,0.9612584930970062,-0.0002705502760493488,-0.08541771398051815,2.496203572725467,3.748627116918426e-05
2000-02-07,2.1459491958317547,5.867104077157967e-05,0.8659645426239049,-0.0012050308073309392,-0.08462651739729257,2.341018860271454,1.0921074678685066e-05
2000-02-08,2.0489713815370196,0.00012309401811933762,0.7577150739357859,-0.00026578961545742504,-0.08542174468877599,2.2652354128709598,3.871431749281584e-05
2000-02-09,1.8704763525110506,5.420186666717576e-05,0.6727809049876116,-0.0014209559695008793,-0.08444370005137421,2.124675860518568,9.314896695664523e-06
2000-02-10,1.8174340323424103,0.00029320982489170725,0.5655540577991833,0.001657391465983541,-0.08424351722176109,2.075878724053103,0.00012864368430977712
2000-02-11,2.0182947268916718,9.759721194181527e-05,0.8382681690051732,-0.0005973337923339334,-0.08514103619763891,2.2110643692219254,2.6932430628386234e-05
2000-02-14,1.850357399483976,0.00029472159815850673,0.7397616539546087,0.0015295223755046976,-0.08435178013800212,2.0802156066921804,0.0001294944423314097
2000-02-15,2.053146111153672,0.0001070793764861915,0.9806789410554999,-0.00043275008527069,-0.08528038427640995,2.218872868341995,3.1223317634587946e-05
2000-02-16,1.8757920204837653,7.050814115503331e-05,0.8815228939625155,-0.0009924858238043622,-0.08480647284753329,2.082724685998722,1.545127856664286e-05
2000-02-17,1.766867270142684,0.00019520733254292208,0.7761261727204738,0.0005727167118440243,-0.08516187873990771,1.9946397851575528,7.508915119357365e-05
2000-02-18,1.7035123133941756,0.00011706102908289025,0.842094856685512,-0.0003319474772473477,-0.08536573081534632,1.935544978880029,3.585941577221228e-05
2000-02-22,1.5570459355517328,0.00040010348284793775,0.7474929084395107,0.002359510928599532,-0.08364905377255889,1.8151765691341808,0.00019009279405928954
2000-02-23,2.185481752526393,9.256222876224265e-05,1.1382806808562977,-0.0005749529321053909,-0.08515998539941436,2.266134797934461,2.4704442558267284e-05
2000-02-24,2.006821802097185,8.280659773368895e-05,1.0335561694080602,-0.00073930128172465,-0.08502083659071827,2.135781863449388,2.0500782406686433e-05
2000-02-25,1.8589568909937462,0.0001566322563139126,0.9286385722073306,0.00013830453470498963,-0.08552968247552178,2.0241974258812006,5.518272336696549e-05
2000-02-28,1.7233726264961096,0.00023505379844269574,0.9088395132241364,0.0009045238580456039,-0.08488094760054574,1.9165500719187947,9.643767710851308e-05
